Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.05, 'subsample': 1, 'min_child_weight': 1, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
27         3.959500       0.065788         3.940702        0.030714
28         3.949001       0.065342         3.929576        0.030899
29         3.939119       0.064849         3.919240        0.030930
..              ...            ...              ...             ...
113        3.794865       0.055860         3.738437        0.031718
114        3.794399       0.055781         3.737763        0.031693
115        3.794010       0.055757         3.737018        0.031492
116        3.793650       0.055732         3.736448        0.031559
117        3.793443       0.055821         3.735828        0.031605
118        3.793127       0.055743         3.735122        0.031620
119        3.792618       0.055616         3.734500        0.031616
120        3.792343       0.055572         3.733890        0.031710
121        3.792010       0.055683         3.733165        0.031710
122        3.791699       0.055589         3.732476        0.031770
123        3.791460       0.055851         3.731684        0.031707
124        3.791168       0.055831         3.731127        0.031674
125        3.790757       0.055751         3.730311        0.031741
126        3.790361       0.055831         3.729656        0.031761
127        3.790138       0.055708         3.729078        0.031681
128        3.789714       0.055795         3.728489        0.031670
129        3.789511       0.055790         3.727921        0.031690
130        3.789163       0.055753         3.727288        0.031672
131        3.788824       0.055812         3.726533        0.031656
132        3.788598       0.055702         3.725884        0.031676
133        3.788199       0.055602         3.725120        0.031784
134        3.787969       0.055671         3.724475        0.031948
135        3.787856       0.055692         3.723950        0.031891
136        3.787552       0.055610         3.723278        0.031827
137        3.787304       0.055693         3.722754        0.031918
138        3.786978       0.055535         3.722275        0.031891
139        3.786648       0.055556         3.721796        0.031927
140        3.786604       0.055632         3.721265        0.032040
141        3.786326       0.055619         3.720737        0.032001
142        3.785879       0.055651         3.720113        0.031850

[143 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.05, 'subsample': 1, 'min_child_weight': 5, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.195668       0.067562         5.195434        0.033067
1          5.083154       0.067959         5.082160        0.032811
2          4.979204       0.068273         4.977755        0.032510
3          4.883715       0.068363         4.881438        0.032352
4          4.795509       0.068393         4.792740        0.032159
5          4.714392       0.068872         4.711010        0.031913
6          4.639680       0.069361         4.635892        0.031801
7          4.570807       0.069666         4.566835        0.031449
8          4.508040       0.069920         4.503382        0.031218
9          4.450524       0.069597         4.445256        0.031212
10         4.397715       0.069891         4.391892        0.031103
11         4.349573       0.069828         4.342929        0.030802
12         4.305335       0.069588         4.298204        0.030889
13         4.265442       0.069514         4.257168        0.030707
14         4.228685       0.069492         4.219688        0.030474
15         4.195084       0.069329         4.185474        0.030392
16         4.164240       0.069187         4.153729        0.030594
17         4.136096       0.068944         4.124979        0.030355
18         4.110338       0.068230         4.098341        0.030249
19         4.086947       0.067922         4.074182        0.030309
20         4.065811       0.067290         4.052255        0.030360
21         4.046022       0.067018         4.031891        0.030329
22         4.027990       0.066802         4.013050        0.030403
23         4.011635       0.066619         3.996215        0.030472
24         3.996926       0.066241         3.980671        0.030467
25         3.982968       0.065947         3.966356        0.030545
26         3.970168       0.065401         3.953113        0.030623
27         3.958859       0.065301         3.940955        0.030626
28         3.948097       0.065077         3.929727        0.030393
29         3.938495       0.064697         3.919459        0.030269
..              ...            ...              ...             ...
144        3.785655       0.056382         3.720519        0.030713
145        3.785341       0.056210         3.719947        0.030882
146        3.785089       0.056130         3.719452        0.030895
147        3.784905       0.056065         3.719035        0.030899
148        3.784718       0.056016         3.718553        0.030906
149        3.784506       0.055898         3.718003        0.031084
150        3.784318       0.055919         3.717542        0.031019
151        3.784105       0.056044         3.717047        0.031000
152        3.783989       0.056101         3.716458        0.031008
153        3.783797       0.056140         3.716070        0.031011
154        3.783629       0.056308         3.715435        0.030931
155        3.783498       0.056220         3.714902        0.030802
156        3.783143       0.056106         3.714312        0.030800
157        3.783070       0.056071         3.713857        0.030834
158        3.782773       0.056036         3.713394        0.030855
159        3.782580       0.055985         3.712869        0.030866
160        3.782391       0.056093         3.712430        0.030832
161        3.782108       0.056083         3.712007        0.030862
162        3.781925       0.056152         3.711610        0.030920
163        3.781758       0.056014         3.711038        0.030931
164        3.781593       0.055922         3.710591        0.030954
165        3.781250       0.055823         3.710013        0.030954
166        3.781050       0.055869         3.709582        0.030977
167        3.780688       0.055701         3.709001        0.031069
168        3.780578       0.055748         3.708593        0.031128
169        3.780502       0.055810         3.708052        0.031096
170        3.780325       0.055685         3.707597        0.031140
171        3.780072       0.055750         3.707136        0.031026
172        3.779887       0.055593         3.706712        0.030884
173        3.779748       0.055715         3.706191        0.030976

[174 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.05, 'subsample': 0.7, 'min_child_weight': 1, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.195881       0.067589         5.195478        0.033134
1          5.082921       0.068127         5.081989        0.032833
2          4.978334       0.068604         4.976877        0.032145
3          4.882607       0.069235         4.880502        0.031623
4          4.794792       0.069982         4.791931        0.030991
5          4.713589       0.069572         4.710282        0.030966
6          4.639387       0.069200         4.635225        0.031067
7          4.570646       0.070020         4.566000        0.030255
8          4.507511       0.069636         4.502268        0.030592
9          4.449988       0.069594         4.444346        0.030372
10         4.397465       0.069476         4.391024        0.030540
11         4.349066       0.069662         4.341604        0.030381
12         4.305427       0.069682         4.296894        0.030489
13         4.264801       0.069104         4.255704        0.030481
14         4.227997       0.069410         4.217636        0.029936
15         4.193934       0.069318         4.182934        0.029369
16         4.163161       0.068985         4.151242        0.029299
17         4.135219       0.068758         4.122311        0.029232
18         4.109763       0.068341         4.096279        0.028997
19         4.086278       0.067842         4.072081        0.028993
20         4.064998       0.067209         4.049787        0.029245
21         4.045021       0.066724         4.029423        0.029078
22         4.027283       0.066761         4.010626        0.028982
23         4.010622       0.066598         3.993470        0.028896
24         3.995342       0.066463         3.977459        0.028848
25         3.981813       0.066059         3.963105        0.029185
26         3.969138       0.065861         3.949583        0.029440
27         3.957227       0.065074         3.937271        0.030000
28         3.946591       0.065117         3.926219        0.029904
29         3.936919       0.064980         3.916129        0.029609
..              ...            ...              ...             ...
155        3.777093       0.056690         3.702891        0.029600
156        3.776812       0.056620         3.702254        0.029663
157        3.776528       0.056492         3.701664        0.029600
158        3.776247       0.056379         3.701192        0.029577
159        3.776003       0.056395         3.700553        0.029696
160        3.775836       0.056326         3.700055        0.029678
161        3.775792       0.056294         3.699522        0.029760
162        3.775674       0.056549         3.698930        0.029908
163        3.775563       0.056419         3.698322        0.029814
164        3.775343       0.056378         3.697729        0.029750
165        3.775057       0.056436         3.697214        0.029742
166        3.774894       0.056487         3.696678        0.029836
167        3.774838       0.056290         3.696155        0.029792
168        3.774650       0.056282         3.695680        0.029842
169        3.774452       0.056272         3.695197        0.029805
170        3.774242       0.056251         3.694654        0.029921
171        3.774059       0.056388         3.694072        0.029959
172        3.773850       0.056549         3.693536        0.029943
173        3.773632       0.056550         3.693040        0.029892
174        3.773584       0.056598         3.692468        0.029913
175        3.773453       0.056587         3.691954        0.029975
176        3.773345       0.056454         3.691512        0.029993
177        3.773004       0.056567         3.691029        0.029936
178        3.772952       0.056485         3.690571        0.029926
179        3.772807       0.056540         3.690089        0.029898
180        3.772549       0.056453         3.689549        0.030009
181        3.772501       0.056490         3.689178        0.030107
182        3.772451       0.056506         3.688780        0.030128
183        3.772285       0.056655         3.688309        0.030061
184        3.772198       0.056500         3.687828        0.029971

[185 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.05, 'subsample': 0.7, 'min_child_weight': 3, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.195915       0.067595         5.195456        0.033138
1          5.082956       0.068132         5.081968        0.032838
2          4.978378       0.068611         4.976861        0.032149
3          4.882647       0.069242         4.880483        0.031628
4          4.795117       0.070220         4.792066        0.030858
5          4.714040       0.069902         4.710496        0.030779
6          4.639713       0.069426         4.635505        0.030798
7          4.570974       0.070249         4.566276        0.029995
8          4.507918       0.069881         4.502597        0.030314
9          4.450386       0.069837         4.444668        0.030099
10         4.397859       0.069715         4.391342        0.030271
11         4.349411       0.069891         4.341988        0.030097
12         4.305912       0.069990         4.297188        0.030217
13         4.265278       0.069412         4.255960        0.030222
14         4.228333       0.069607         4.217946        0.029643
15         4.194270       0.069512         4.183255        0.029075
16         4.163410       0.069157         4.151595        0.029000
17         4.135464       0.068929         4.122672        0.028926
18         4.110359       0.068924         4.096659        0.028824
19         4.086784       0.068390         4.072519        0.028810
20         4.065409       0.067657         4.050249        0.029042
21         4.045493       0.066989         4.029868        0.028937
22         4.027866       0.066905         4.011079        0.028871
23         4.011151       0.066708         3.993923        0.028769
24         3.995826       0.066500         3.977922        0.028715
25         3.981892       0.065660         3.963544        0.029085
26         3.969196       0.065468         3.949976        0.029327
27         3.957450       0.064853         3.937809        0.029750
28         3.946833       0.064896         3.926785        0.029650
29         3.937174       0.064756         3.916704        0.029349
..              ...            ...              ...             ...
176        3.774329       0.056713         3.693340        0.030802
177        3.774039       0.056870         3.692912        0.030728
178        3.773941       0.056882         3.692459        0.030717
179        3.773837       0.056875         3.691998        0.030713
180        3.773599       0.056799         3.691496        0.030807
181        3.773536       0.056860         3.691100        0.030901
182        3.773471       0.056852         3.690722        0.030922
183        3.773289       0.056962         3.690271        0.030865
184        3.773127       0.056929         3.689754        0.030749
185        3.773117       0.056934         3.689291        0.030791
186        3.773030       0.056977         3.688837        0.030749
187        3.772943       0.056961         3.688372        0.030721
188        3.772633       0.056887         3.687879        0.030680
189        3.772433       0.056801         3.687357        0.030749
190        3.772183       0.056732         3.686883        0.030768
191        3.771916       0.056658         3.686453        0.030738
192        3.771874       0.056648         3.685985        0.030736
193        3.771812       0.056560         3.685602        0.030687
194        3.771667       0.056648         3.685211        0.030608
195        3.771472       0.056447         3.684643        0.030590
196        3.771376       0.056590         3.684125        0.030511
197        3.771187       0.056689         3.683624        0.030512
198        3.771004       0.056801         3.683166        0.030467
199        3.770859       0.056870         3.682746        0.030426
200        3.770786       0.056982         3.682301        0.030376
201        3.770705       0.056884         3.681982        0.030303
202        3.770679       0.056889         3.681554        0.030249
203        3.770417       0.056989         3.681155        0.030168
204        3.770132       0.057028         3.680693        0.030189
205        3.770057       0.056930         3.680362        0.030200

[206 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.05, 'subsample': 0.7, 'min_child_weight': 5, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.195915       0.067595         5.195456        0.033138
1          5.082799       0.067982         5.081972        0.032828
2          4.978229       0.068470         4.976869        0.032132
3          4.882675       0.068874         4.880480        0.031597
4          4.795031       0.069840         4.792216        0.030781
5          4.713857       0.069613         4.710648        0.030666
6          4.639536       0.069126         4.635751        0.030649
7          4.570781       0.070018         4.566582        0.029930
8          4.507733       0.069656         4.502917        0.030247
9          4.450276       0.069533         4.444994        0.030029
10         4.397750       0.069423         4.391660        0.030190
11         4.349148       0.069824         4.342232        0.029902
12         4.305576       0.069897         4.297560        0.030005
13         4.264978       0.069298         4.256359        0.030026
14         4.228132       0.069560         4.218420        0.029560
15         4.194213       0.069295         4.183729        0.028978
16         4.163702       0.069097         4.152257        0.028853
17         4.135745       0.068841         4.123099        0.028896
18         4.110657       0.068693         4.097077        0.028818
19         4.086883       0.068113         4.072942        0.028803
20         4.065521       0.067377         4.050718        0.029011
21         4.045989       0.066887         4.030475        0.028866
22         4.028025       0.066645         4.011695        0.028780
23         4.011367       0.066483         3.994610        0.028616
24         3.996052       0.066348         3.978625        0.028523
25         3.982530       0.065953         3.964252        0.028868
26         3.969826       0.065773         3.950707        0.029089
27         3.958208       0.065143         3.938616        0.029264
28         3.947641       0.065157         3.927500        0.029259
29         3.937759       0.064963         3.917360        0.028970
..              ...            ...              ...             ...
152        3.778286       0.056280         3.707143        0.029998
153        3.778019       0.056245         3.706699        0.030022
154        3.777749       0.056154         3.706079        0.029983
155        3.777677       0.056174         3.705605        0.029959
156        3.777405       0.056116         3.704960        0.030138
157        3.777131       0.056011         3.704351        0.030059
158        3.776926       0.055862         3.703850        0.030054
159        3.776869       0.055853         3.703308        0.030153
160        3.776689       0.055770         3.702825        0.030221
161        3.776638       0.055821         3.702315        0.030310
162        3.776630       0.055879         3.701691        0.030515
163        3.776498       0.055843         3.701193        0.030504
164        3.776135       0.055909         3.700559        0.030401
165        3.775790       0.055896         3.700155        0.030362
166        3.775468       0.056007         3.699611        0.030449
167        3.775438       0.055846         3.699055        0.030395
168        3.775252       0.055793         3.698632        0.030439
169        3.775159       0.055973         3.698039        0.030496
170        3.774974       0.055958         3.697525        0.030604
171        3.774741       0.056089         3.696944        0.030603
172        3.774548       0.056254         3.696419        0.030526
173        3.774399       0.056249         3.695922        0.030456
174        3.774295       0.056272         3.695461        0.030471
175        3.774111       0.056229         3.694919        0.030550
176        3.774031       0.056119         3.694536        0.030563
177        3.773681       0.056278         3.694115        0.030483
178        3.773651       0.056217         3.693788        0.030415
179        3.773458       0.056129         3.693342        0.030391
180        3.773296       0.056060         3.692867        0.030498
181        3.773185       0.056092         3.692540        0.030585

[182 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.1, 'subsample': 1, 'min_child_weight': 1, 'n_estimators': 1000, 'silent': True}.
The result is 
    test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0         5.077227       0.067917         5.076418        0.032667
1         4.873637       0.068470         4.871546        0.032346
2         4.701224       0.068522         4.698492        0.031751
3         4.557298       0.069177         4.552467        0.031430
4         4.436018       0.069861         4.430420        0.031176
5         4.334982       0.069320         4.327725        0.030952
6         4.251337       0.068896         4.242603        0.030674
7         4.181221       0.068640         4.171648        0.030842
8         4.123169       0.068424         4.111716        0.030774
9         4.074997       0.068124         4.061906        0.031000
10        4.035676       0.066801         4.020995        0.031140
11        4.001627       0.065794         3.986078        0.031036
12        3.973747       0.065386         3.956366        0.030957
13        3.950945       0.064892         3.931928        0.030914
14        3.931203       0.064197         3.911082        0.031163
15        3.915173       0.063562         3.893639        0.031332
16        3.900769       0.063413         3.878642        0.031292
17        3.889387       0.062627         3.865861        0.031173
18        3.879242       0.062238         3.854847        0.031044
19        3.871048       0.062018         3.845553        0.031484
20        3.864571       0.061533         3.837847        0.031084
21        3.858784       0.060859         3.830542        0.031298
22        3.853318       0.060109         3.824346        0.031510
23        3.848793       0.059837         3.818681        0.031507
24        3.843926       0.059935         3.813240        0.031438
25        3.840446       0.059852         3.808857        0.031176
26        3.837094       0.058959         3.804308        0.031361
27        3.834130       0.059351         3.800058        0.031003
28        3.831318       0.059328         3.796028        0.030775
29        3.828409       0.059103         3.792762        0.031043
..             ...            ...              ...             ...
57        3.793495       0.054949         3.734985        0.031551
58        3.792967       0.055101         3.733466        0.031576
59        3.791928       0.055238         3.731946        0.031491
60        3.790816       0.054983         3.730577        0.031471
61        3.790037       0.054883         3.729320        0.031602
62        3.789938       0.054897         3.727979        0.031722
63        3.789132       0.054890         3.726530        0.031718
64        3.788556       0.054964         3.725404        0.031910
65        3.787641       0.054940         3.723897        0.031686
66        3.787367       0.054972         3.722767        0.031625
67        3.786964       0.054739         3.721375        0.031346
68        3.786732       0.054680         3.720156        0.031499
69        3.785840       0.054825         3.718732        0.031414
70        3.785407       0.055056         3.717422        0.031470
71        3.785180       0.054859         3.716465        0.031483
72        3.784480       0.054678         3.715134        0.031510
73        3.784001       0.054569         3.714211        0.031356
74        3.783170       0.054715         3.713089        0.031143
75        3.782947       0.054566         3.712169        0.031120
76        3.782342       0.054392         3.711150        0.031231
77        3.782161       0.054334         3.710440        0.031225
78        3.781923       0.054067         3.709346        0.030959
79        3.781526       0.054441         3.708097        0.031105
80        3.781137       0.054445         3.706941        0.031151
81        3.780828       0.054327         3.705952        0.031301
82        3.780440       0.054526         3.704956        0.031023
83        3.780108       0.054584         3.704204        0.030988
84        3.779615       0.054257         3.703314        0.030833
85        3.779417       0.054353         3.702501        0.030890
86        3.779358       0.054390         3.701622        0.030661

[87 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.1, 'subsample': 1, 'min_child_weight': 3, 'n_estimators': 1000, 'silent': True}.
The result is 
    test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0         5.077227       0.067917         5.076418        0.032667
1         4.873681       0.068479         4.871568        0.032341
2         4.701366       0.068552         4.698504        0.031748
3         4.557472       0.069213         4.552522        0.031415
4         4.436129       0.069885         4.430464        0.031163
5         4.335155       0.069360         4.327686        0.030964
6         4.251503       0.068935         4.242640        0.030662
7         4.181511       0.068711         4.171612        0.030854
8         4.123466       0.068497         4.111680        0.030788
9         4.075200       0.068244         4.062013        0.031040
10        4.035885       0.066917         4.021106        0.031184
11        4.001949       0.065932         3.986136        0.031103
12        3.974068       0.065520         3.956423        0.031024
13        3.951042       0.064996         3.931821        0.031054
14        3.931589       0.064498         3.911551        0.030884
15        3.914955       0.063275         3.894049        0.031160
16        3.900791       0.063471         3.879033        0.031092
17        3.889363       0.062518         3.866260        0.030969
18        3.879429       0.062357         3.855483        0.030752
19        3.871063       0.062002         3.846048        0.031248
20        3.864010       0.061002         3.837851        0.031244
21        3.858124       0.060138         3.830957        0.031340
22        3.852870       0.059554         3.824835        0.031490
23        3.848481       0.059423         3.819369        0.031353
24        3.843698       0.059360         3.813715        0.031425
25        3.839728       0.058353         3.808834        0.031531
26        3.835580       0.058405         3.804313        0.031435
27        3.832116       0.058350         3.800291        0.030903
28        3.829413       0.057444         3.796551        0.031121
29        3.826655       0.057437         3.792977        0.030908
..             ...            ...              ...             ...
65        3.786707       0.055009         3.725695        0.030652
66        3.786387       0.055037         3.724729        0.030520
67        3.785629       0.054988         3.723296        0.030539
68        3.784707       0.054967         3.722064        0.030798
69        3.784084       0.055191         3.720808        0.030394
70        3.783521       0.055435         3.719591        0.030230
71        3.783445       0.055431         3.718631        0.030417
72        3.783129       0.055257         3.717394        0.030430
73        3.782633       0.055254         3.716394        0.030353
74        3.781903       0.055150         3.715375        0.030478
75        3.781561       0.055250         3.714304        0.030692
76        3.781151       0.055010         3.713476        0.030719
77        3.780646       0.054519         3.712488        0.030740
78        3.780060       0.054570         3.711135        0.030687
79        3.780055       0.054598         3.710240        0.030599
80        3.779744       0.054385         3.709010        0.030654
81        3.779140       0.054502         3.708255        0.030465
82        3.778994       0.054301         3.707129        0.030252
83        3.778673       0.054306         3.706283        0.030079
84        3.778551       0.054060         3.705474        0.030000
85        3.778248       0.053959         3.704275        0.030035
86        3.777896       0.053979         3.703392        0.030113
87        3.777665       0.054091         3.702308        0.030150
88        3.777656       0.054352         3.701486        0.029937
89        3.777420       0.054085         3.700525        0.030122
90        3.776904       0.053942         3.699490        0.030241
91        3.776771       0.053870         3.698794        0.030125
92        3.776413       0.053784         3.698021        0.030009
93        3.776131       0.053665         3.697359        0.030006
94        3.775759       0.053642         3.696610        0.029891

[95 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.1, 'subsample': 1, 'min_child_weight': 5, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.077227       0.067917         5.076418        0.032667
1          4.873681       0.068479         4.871568        0.032341
2          4.701366       0.068552         4.698504        0.031748
3          4.557349       0.069077         4.552650        0.031279
4          4.436022       0.069767         4.430599        0.031021
5          4.335034       0.069236         4.328022        0.030664
6          4.251721       0.069180         4.242829        0.030518
7          4.181696       0.068930         4.171963        0.030589
8          4.123431       0.068478         4.112149        0.030401
9          4.075225       0.067973         4.062469        0.030688
10         4.035958       0.066691         4.021583        0.030809
11         4.002269       0.065856         3.986732        0.030617
12         3.974500       0.065558         3.957003        0.030555
13         3.951734       0.065309         3.932406        0.030583
14         3.932140       0.064639         3.911917        0.030625
15         3.916025       0.064050         3.894623        0.030753
16         3.901790       0.064167         3.879821        0.030493
17         3.890418       0.063273         3.867140        0.030289
18         3.880603       0.063236         3.856130        0.030289
19         3.871860       0.062490         3.846619        0.030863
20         3.865224       0.061916         3.838658        0.030645
21         3.859456       0.061167         3.831572        0.030912
22         3.853993       0.060371         3.825462        0.031047
23         3.849315       0.060021         3.819873        0.031072
24         3.844702       0.060138         3.814166        0.031194
25         3.839925       0.059953         3.809035        0.031352
26         3.836546       0.060035         3.804623        0.030867
27         3.833594       0.059039         3.800794        0.031160
28         3.830419       0.058684         3.796983        0.031369
29         3.827869       0.058034         3.793654        0.031297
..              ...            ...              ...             ...
74         3.783613       0.056701         3.716607        0.030028
75         3.783307       0.056541         3.715465        0.030218
76         3.782761       0.056522         3.714426        0.030059
77         3.782370       0.056150         3.713292        0.029995
78         3.782177       0.056023         3.712280        0.030085
79         3.781624       0.055995         3.711401        0.030267
80         3.781390       0.056057         3.710467        0.030355
81         3.780855       0.055852         3.709645        0.030520
82         3.780667       0.055895         3.708881        0.030409
83         3.780365       0.055877         3.708055        0.030383
84         3.779975       0.055836         3.707211        0.030328
85         3.779712       0.056176         3.706312        0.030188
86         3.779328       0.055953         3.705119        0.030159
87         3.779010       0.056127         3.703999        0.030009
88         3.778515       0.055888         3.702962        0.030116
89         3.778416       0.055788         3.702046        0.030241
90         3.777713       0.055487         3.700969        0.030533
91         3.777375       0.055576         3.700238        0.030538
92         3.777045       0.055637         3.699535        0.030509
93         3.776144       0.055917         3.698317        0.030495
94         3.776006       0.055907         3.697635        0.030560
95         3.775872       0.055937         3.696678        0.030634
96         3.775512       0.055697         3.695861        0.030677
97         3.775106       0.055566         3.694858        0.030912
98         3.775078       0.055436         3.694359        0.030855
99         3.774845       0.055398         3.693636        0.030647
100        3.774541       0.055185         3.692721        0.030432
101        3.774358       0.055024         3.691865        0.030577
102        3.773796       0.054860         3.691162        0.030530
103        3.773710       0.054951         3.690344        0.030624

[104 rows x 4 columns]
Now we are training and validating hyperperameters: {'max_depth': 3, 'objective': 'reg:linear', 'learning_rate': 0.1, 'subsample': 0.7, 'min_child_weight': 1, 'n_estimators': 1000, 'silent': True}.
The result is 
     test-rmse-mean  test-rmse-std  train-rmse-mean  train-rmse-std
0          5.077700       0.067988         5.076519        0.032801
1          4.873132       0.068621         4.871165        0.032266
2          4.699639       0.070474         4.696871        0.031095
3          4.555858       0.070589         4.551283        0.030454
4          4.435424       0.071119         4.429789        0.029764
5          4.334265       0.070196         4.327834        0.029967
6          4.250970       0.069208         4.242969        0.030439
7          4.181171       0.068940         4.171090        0.029694
8          4.122537       0.068205         4.111184        0.029957
9          4.074448       0.067159         4.061399        0.029992
10         4.034685       0.065394         4.020075        0.030104
11         4.000894       0.064887         3.985231        0.029993
12         3.973248       0.064761         3.956390        0.029486
13         3.950209       0.064690         3.931945        0.029276
14         3.930173       0.064034         3.910685        0.028875
15         3.913044       0.062860         3.892846        0.028896
16         3.900088       0.062348         3.877912        0.029068
17         3.888291       0.061974         3.865201        0.029551
